raw_text,prix_extracted,lien,prix_final,surface_final,ville,quartier
"IMMOCHOIX pro
il y a 9 heures
Appartements dans Rabat, Diour Jamaa
Un bel appartement à vendre à 200m2 de l'agdal
2
2
89 m²
1 650 000 DH
9 171 DH / mois",1 650 000,https://www.avito.ma/fr/diour_jamaa/appartements/Un_bel_appartement_%C3%A0_vendre_%C3%A0_200m2_de_l_agdal_57425385.htm,1650000.0,89.0,Rabat,Diour Jamaa
"DARNA MARKET
il y a 9 heures
Appartements dans Rabat, Souissi
Rez-de-jardin à vendre 128 m² 20 m² jardin
3
2
148 m²
2 100 000 DH
11 672 DH / mois",2 100 000,https://www.avito.ma/fr/souissi/appartements/Rez_de_jardin_%C3%A0_vendre_128_m%C2%B2_20_m%C2%B2_jardin_57302278.htm,2100000.0,128.0,Rabat,Souissi
"Sanvitalia
il y a 10 heures
Appartements dans Rabat, Guich Oudaya
Appt 62m & 76m A VENDRE Guich Loudaya Rabat
3
2
76 m²
1 350 000 DH
7 503 DH / mois",1 350 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appt_62m___76m_A_VENDRE_Guich_Loudaya_Rabat_57297976.htm,1350000.0,76.0,Rabat,Guich Oudaya
"ANOUAR IMMO
il y a 10 heures
Appartements dans Rabat, Souissi
Appartement à vendre 134m² à Lmenzeh
3
2
2 200 000 DH
12 228 DH / mois",2 200 000,https://www.avito.ma/fr/souissi/appartements/Appartement_%C3%A0_vendre_134m%C2%B2_%C3%A0_Lmenzeh_54695245.htm,2200000.0,134.0,Rabat,Souissi
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
The View Mehdia
1
1
39 m²
500 000 DH",500 000,https://immoneuf.avito.ma/fr/unite/mPD?utm_source=avito_integration&utm_medium=listing_integration,500000.0,39.0,Rabat,Autre
"Agence immobilière ben Hammou
il y a 11 heures
Appartements dans Rabat, Hay Riad
Appartement de 250m2 en vente
4
3
250 m²
5 200 000 DH
28 903 DH / mois",5 200 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_de_250m2_en_vente_57272330.htm,5200000.0,250.0,Rabat,Hay Riad
"properium rabat
il y a 11 heures
Appartements dans Rabat, Agdal
Appartement à vendre Agdal
2
2
150 m²
2 200 000 DH
12 228 DH / mois",2 200 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_Agdal_57494728.htm,2200000.0,150.0,Rabat,Agdal
"properium rabat
il y a 11 heures
Appartements dans Rabat, Hay Riad
Appartement à vendre à hay riad
3
2
185 m²
3 800 000 DH
21 121 DH / mois",3 800 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_%C3%A0_hay_riad_57494747.htm,3800000.0,185.0,Rabat,Hay Riad
"Agence Immobilière La Clé du Rêve
il y a 11 heures
Appartements dans Rabat, Yacoub El Mansour
À Vendre appart 120m terrasse 65m à Hay Menzeh
3
2
185 m²
1 460 000 DH
8 115 DH / mois",1 460 000,https://www.avito.ma/fr/yacoub_el_mansour/appartements/%C3%80_Vendre_appart_120m_terrasse_65m_%C3%A0_Hay_Menzeh_57190435.htm,1460000.0,185.0,Rabat,Yacoub El Mansour
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Ryad Al Andalous - Patio Verde
3
1
130 m²
3 700 000 DH",3 700 000,https://immoneuf.avito.ma/fr/unite/Sw3?utm_source=avito_integration&utm_medium=listing_integration,3700000.0,130.0,Rabat,Autre
"karim immo
il y a 11 heures
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 46 m² à guich oudaya
1
1
900 000 DH
5 002 DH / mois",900 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_46_m%C2%B2_%C3%A0_guich_oudaya_57428369.htm,900000.0,46.0,Rabat,Guich Oudaya
"karim immo
il y a 11 heures
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 76 m² à Rabat
3
2
1 350 000 DH
7 503 DH / mois",1 350 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Rabat_57376628.htm,1350000.0,76.0,Rabat,Guich Oudaya
"karim immo
il y a 12 heures
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 62 m² à Temara Guich Oudaya
2
2
1 220 000 DH
6 781 DH / mois",1 220 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_62_m%C2%B2_%C3%A0_Temara_Guich_Oudaya_57426351.htm,1220000.0,62.0,Rabat,Guich Oudaya
"karim immo
il y a 12 heures
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 61 m² à Rabat
2
2
61 m²
1 250 000 DH
6 947 DH / mois",1 250 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_61_m%C2%B2_%C3%A0_Rabat_57373573.htm,1250000.0,61.0,Rabat,Guich Oudaya
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Résidence les Oliviers
2
1
71 m²
781 000 DH",781 000,https://immoneuf.avito.ma/fr/unite/ja1?utm_source=avito_integration&utm_medium=listing_integration,781000.0,71.0,Rabat,Autre
"Mehdi
il y a 23 heures
Star
Appartements dans Rabat, Hay Riad
Appartement à vendre 231 m² à Rabat
4
3
231 m²
5 800 000 DH
32 238 DH / mois",5 800 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_231_m%C2%B2_%C3%A0_Rabat_57493838.htm,5800000.0,231.0,Rabat,Hay Riad
"Alia
il y a 1 jour
Appartements dans Rabat, Aviation - Mabella
Appartement à louer ou à vendre de 108 m² à Rabat
2
2
108 m²
1 670 000 DH
9 282 DH / mois",1 670 000,https://www.avito.ma/fr/aviation___mabella/appartements/Appartement_%C3%A0_louer_ou_%C3%A0_vendre_de_108_m%C2%B2_%C3%A0_Rabat_57487354.htm,1670000.0,108.0,Rabat,Aviation - Mabella
"particulier
il y a 1 jour
Appartements dans Rabat, Diour Jamaa
APPARTEMENT À VENDRE À DIOUR JAMAA CENTRE RABAT
4
1
115 m²
1 600 000 DH
8 893 DH / mois",1 600 000,https://www.avito.ma/fr/diour_jamaa/appartements/APPARTEMENT_%C3%80_VENDRE_%C3%80_DIOUR_JAMAA_CENTRE_RABAT_54636359.htm,1600000.0,115.0,Rabat,Diour Jamaa
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Les Dunes du Golf - Appartements
2
1
72 m²
1 300 000 DH",1 300 000,https://immoneuf.avito.ma/fr/unite/nnd?utm_source=avito_integration&utm_medium=listing_integration,1300000.0,72.0,Rabat,Autre
"properium rabat
il y a 11 heures
Premium
1/6
Appartements dans Rabat, Hay Riad
Appartement à vendre à hay riad
3
2
185 m²
3 800 000 DH
21 121 DH / mois",3 800 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_%C3%A0_hay_riad_57494747.htm,3800000.0,185.0,Rabat,Hay Riad
"properium rabat
il y a 11 heures
Premium
1/10
Appartements dans Rabat, Agdal
Appartement à vendre Agdal
2
2
150 m²
2 200 000 DH
12 228 DH / mois",2 200 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_Agdal_57494728.htm,2200000.0,150.0,Rabat,Agdal
"YOUSSEF IMO
il y a 1 jour
1/1
Appartements dans Rabat, Hassan
Clé de studio à vendre à Hassan
1
1
60 m²
300 000 DH
1 667 DH / mois",300 000,https://www.avito.ma/fr/hassan/appartements/Cl%C3%A9_de_studio_%C3%A0_vendre_%C3%A0_Hassan_57499567.htm,300000.0,60.0,Rabat,Hassan
"mounir
il y a 1 jour
Appartements dans Rabat, Hassan
Superbe Appartement à vendre 168 m² à Rabat-Hassan
3
2
168 m²
2 700 000 DH
15 007 DH / mois",2 700 000,https://www.avito.ma/fr/hassan/appartements/Superbe_Appartement_%C3%A0_vendre_168_m%C2%B2_%C3%A0_Rabat_Hassan_57498987.htm,2700000.0,168.0,Rabat,Hassan
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Résidence Carré Vert Bouznika
3
1
68 m²
390 000 DH",390 000,https://immoneuf.avito.ma/fr/unite/4jP?utm_source=avito_integration&utm_medium=listing_integration,390000.0,68.0,Rabat,Autre
"KHATTABI FILALI MOUNA
il y a 1 jour
Appartements dans Rabat, Hassan
Hassan Allal ben Abdallah Apt 141 m²
2
1
2 100 000 DH
11 672 DH / mois",2 100 000,https://www.avito.ma/fr/hassan/appartements/Hassan_Allal_ben_Abdallah_Apt_141_m%C2%B2_56165293.htm,2100000.0,141.0,Rabat,Hassan
"KHATTABI FILALI MOUNA
il y a 1 jour
Appartements dans Rabat, Riyad Extension
Extension Ryad Apt de 104 m² au Rez de jardin
2
1
104 m²
1 950 000 DH
10 838 DH / mois",1 950 000,https://www.avito.ma/fr/riyad_extension/appartements/Extension_Ryad_Apt_de_104_m%C2%B2_au_Rez_de_jardin_57347015.htm,1950000.0,104.0,Rabat,Riyad Extension
"Rana Immobilier
il y a 1 jour
Appartements dans Rabat, Hay Riad
Appartement à vendre sur Hay Riad Prestigia
3
3
184 m²
5 000 000 DH
27 791 DH / mois",5 000 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_sur_Hay_Riad_Prestigia_57009369.htm,5000000.0,184.0,Rabat,Hay Riad
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
RESIDENCE SALIMA 3
2
1
85 m²
825 000 DH",825 000,https://immoneuf.avito.ma/fr/unite/j31?utm_source=avito_integration&utm_medium=listing_integration,825000.0,85.0,Rabat,Autre
"Rana Immobilier
il y a 1 jour
Appartements dans Rabat, Guich Oudaya
Appartement à vendre sur Riad Ouled Mtaa Temara
2
2
104 m²
2 100 000 DH
11 672 DH / mois",2 100 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_sur_Riad_Ouled_Mtaa_Temara_57260179.htm,2100000.0,104.0,Rabat,Guich Oudaya
"aymane manir
il y a 2 jours
Appartements dans Rabat, Agdal
Appartement à vendre
3
3
112 m²
2 128 000 DH
11 828 DH / mois",2 128 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_57497484.htm,2128000.0,112.0,Rabat,Agdal
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Résidence Carré Vert Bouznika
2
1
51 m²
390 000 DH",390 000,https://immoneuf.avito.ma/fr/unite/4jy?utm_source=avito_integration&utm_medium=listing_integration,390000.0,51.0,Rabat,Autre
"Rana Immobilier
il y a 2 jours
Appartements dans Rabat, Hay Riad
Appartement à vendre sur Hay Riad
3
2
144 m²
3 250 000 DH
18 064 DH / mois",3 250 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_sur_Hay_Riad_56053864.htm,3250000.0,144.0,Rabat,Hay Riad
"Said
il y a 2 jours
Appartements dans Rabat, Hay Riad
Appartement à vendre 153 m² à Rabat
3
3
153 m²
4 100 000 DH
22 789 DH / mois",4 100 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_153_m%C2%B2_%C3%A0_Rabat_57496379.htm,4100000.0,153.0,Rabat,Hay Riad
"Nourhamza Immobilière
il y a 2 jours
Appartements dans Rabat, Mabella
Appartement neuf À vendre MABILLA
2
2
76 m²
1 090 000 DH
6 058 DH / mois",1 090 000,https://www.avito.ma/fr/mabella/appartements/Appartement_neuf_%C3%80_vendre_MABILLA_57496162.htm,1090000.0,76.0,Rabat,Mabella
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Plage Des Nations Golf City - Appartements ""Les Résidences de l'Océan""
3
2
137 m²
1 800 000 DH",1 800 000,https://immoneuf.avito.ma/fr/unite/W5x?utm_source=avito_integration&utm_medium=listing_integration,1800000.0,137.0,Rabat,Autre
"Souhaila
il y a 2 jours
Appartements dans Rabat, Autre secteur
Grand appart de 145 m2 à vendre -Rabat
4
2
145 m²
2 175 000 DH
12 089 DH / mois",2 175 000,https://www.avito.ma/fr/autre_secteur/appartements/Grand_appart_de_145_m2_%C3%A0_vendre__Rabat_57496105.htm,2175000.0,145.0,Rabat,Autre secteur
"Clo Immobilier
il y a 2 jours
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 65 m² à Rabat
2
1
65 m²
1 150 000 DH
6 392 DH / mois",1 150 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Rabat_57495838.htm,1150000.0,65.0,Rabat,Guich Oudaya
"Saad Naji
il y a 2 jours
Appartements dans Rabat, Diour Jamaa
Appartement à vendre 87 m² à Rabat
2
2
1 340 000 DH
7 448 DH / mois",1 340 000,https://www.avito.ma/fr/diour_jamaa/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Rabat_57495171.htm,1340000.0,87.0,Rabat,Diour Jamaa
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Résidence les Oliviers
2
1
71 m²
781 000 DH",781 000,https://immoneuf.avito.ma/fr/unite/ja1?utm_source=avito_integration&utm_medium=listing_integration,781000.0,71.0,Rabat,Autre
"karim immo
il y a 2 jours
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 65 m² à Rabat
2
1
1 250 000 DH
6 947 DH / mois",1 250 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Rabat_57494530.htm,1250000.0,65.0,Rabat,Guich Oudaya
"Nourhamza Immobilière
il y a 2 jours
Appartements dans Rabat, Agdal
Appartement à vendre Agdal Hassan II
3
2
140 m²
2 400 000 DH
13 339 DH / mois",2 400 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_Agdal_Hassan_II_57494532.htm,2400000.0,140.0,Rabat,Agdal
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Projet OCEAMIS
3
1
130 m²
3 700 000 DH",3 700 000,https://immoneuf.avito.ma/fr/unite/T5D?utm_source=avito_integration&utm_medium=listing_integration,3700000.0,130.0,Rabat,Autre
"Nourhamza Immobilière
il y a 4 jours
Appartements dans Rabat, Autre secteur
Appartement neuf À vendre RABAT Menzeh rout z3ir
3
2
112 m²
2 200 000 DH
12 228 DH / mois",2 200 000,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_neuf_%C3%80_vendre_RABAT_Menzeh_rout_z3ir_57490169.htm,2200000.0,112.0,Rabat,Autre secteur
"SOGETIMO
il y a 4 jours
Appartements dans Rabat, Agdal
Appartement de 80m² à vendre sur Agdal
2
1
77 m²
1 500 000 DH
8 337 DH / mois",1 500 000,https://www.avito.ma/fr/agdal/appartements/Appartement_de_80m%C2%B2_%C3%A0_vendre_sur_Agdal_57331230.htm,1500000.0,80.0,Rabat,Agdal
"SOGETIMO
il y a 4 jours
Appartements dans Rabat, Agdal
Appartement à vendre 95 m² à Rabat
2
1
95 m²
2 120 000 DH
11 783 DH / mois",2 120 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Rabat_57449308.htm,2120000.0,95.0,Rabat,Agdal
"SOGETIMO
il y a 4 jours
Appartements dans Rabat, Al Irfane
Appartement à vendre sur quartier Al Irfane
3
2
135 m²
2 760 000 DH
15 340 DH / mois",2 760 000,https://www.avito.ma/fr/al_irfane/appartements/Appartement_%C3%A0_vendre_sur_quartier_Al_Irfane_57141340.htm,2760000.0,135.0,Rabat,Al Irfane
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
La Perle de Maamoura
2
2
80 m²
800 000 DH",800 000,https://immoneuf.avito.ma/fr/unite/K2S?utm_source=avito_integration&utm_medium=listing_integration,800000.0,80.0,Rabat,Autre
"La Pépite Immo
il y a 4 jours
Appartements dans Rabat, Hay Riad
Appartement RDJ à vendre Hay riad
3
2
163 m²
3 600 000 DH
20 009 DH / mois",3 600 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_RDJ_%C3%A0_vendre_Hay_riad_57375540.htm,3600000.0,163.0,Rabat,Hay Riad
"SOGETIMO
il y a 4 jours
Appartements dans Rabat, Agdal
Appartement à vendre sur quartier Agdal
2
1
89 m²
1 750 000 DH
9 727 DH / mois",1 750 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_sur_quartier_Agdal_57141354.htm,1750000.0,89.0,Rabat,Agdal
"SOGETIMO
il y a 4 jours
Appartements dans Rabat, Agdal
Appartement à vendre 100 m² sur Agdal
2
1
99 m²
1 650 000 DH
9 171 DH / mois",1 650 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_sur_Agdal_57141371.htm,1650000.0,100.0,Rabat,Agdal
"karim immo
il y a 4 jours
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 112 m² à Guiche Oudaya
3
2
1 500 000 DH
8 337 DH / mois",1 500 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_112_m%C2%B2_%C3%A0_Guiche_Oudaya_57488793.htm,1500000.0,112.0,Rabat,Guich Oudaya
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
MANAFIAA PREMIUM
3
2
109 m²
680 000 DH",680 000,https://immoneuf.avito.ma/fr/unite/jFc?utm_source=avito_integration&utm_medium=listing_integration,680000.0,109.0,Rabat,Autre
"karim immo
il y a 4 jours
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 112 m² à Guiche oudaya
3
2
1 600 000 DH
8 893 DH / mois",1 600 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_112_m%C2%B2_%C3%A0_Guiche_oudaya_57488620.htm,1600000.0,112.0,Rabat,Guich Oudaya
"hakimimmo
il y a 4 jours
Appartements dans Rabat, Hay Riad
Appartement à vendre
3
2
152 m²
4 100 000 DH
22 789 DH / mois",4 100 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_57487086.htm,4100000.0,152.0,Rabat,Hay Riad
"IMMOCHOIX pro
il y a 3 jours
Appartements dans Rabat, Hay Riad
Appartement à vendre
3
3
148 m²
3 300 000 DH
18 342 DH / mois",3 300 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_57480053.htm,3300000.0,148.0,Rabat,Hay Riad
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Bassatine
2
1
77 m²
430 000 DH",430 000,https://immoneuf.avito.ma/fr/unite/47W?utm_source=avito_integration&utm_medium=listing_integration,430000.0,77.0,Rabat,Autre
"properium rabat
il y a 11 heures
Premium
1/10
Appartements dans Rabat, Agdal
Appartement à vendre Agdal
2
2
150 m²
2 200 000 DH
12 228 DH / mois",2 200 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_Agdal_57494728.htm,2200000.0,150.0,Rabat,Agdal
"properium rabat
il y a 11 heures
Premium
1/6
Appartements dans Rabat, Hay Riad
Appartement à vendre à hay riad
3
2
185 m²
3 800 000 DH
21 121 DH / mois",3 800 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_%C3%A0_hay_riad_57494747.htm,3800000.0,185.0,Rabat,Hay Riad
"Ahmed
il y a 5 jours
Appartements dans Rabat, Hassan
Sarout à vendre d'un Studio à Rabat
1
0
30 m²
250 000 DH
1 389 DH / mois",250 000,https://www.avito.ma/fr/hassan/appartements/Sarout_%C3%A0_vendre_d_un_Studio_%C3%A0_Rabat_57486486.htm,250000.0,30.0,Rabat,Hassan
"AGENZ.MA
il y a 5 jours
Appartements dans Rabat, Agdal
RBA-AG-1128 - Appartement à vendre à Agdal
2
1
108 m²
2 255 000 DH
12 534 DH / mois",2 255 000,https://www.avito.ma/fr/agdal/appartements/RBA_AG_1128___Appartement_%C3%A0_vendre_%C3%A0_Agdal_57275030.htm,2255000.0,108.0,Rabat,Agdal
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Complexe l'Opéra
3
3
179 m²
1 856 000 DH",1 856 000,https://immoneuf.avito.ma/fr/unite/jXd?utm_source=avito_integration&utm_medium=listing_integration,1856000.0,179.0,Rabat,Autre
"la fondation immo 202
il y a 6 jours
Appartements dans Rabat, Hay Riad
Appartement à vendre
3
3
179 m²
3 900 000 DH
21 677 DH / mois",3 900 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_57482950.htm,3900000.0,179.0,Rabat,Hay Riad
"abderahim
il y a 6 jours
Appartements dans Rabat, Haut Agdal
Studio à vendre Agdal Idéal investissement Airbnb
1
1
45 m²
980 000 DH
5 447 DH / mois",980 000,https://www.avito.ma/fr/haut_agdal/appartements/Studio_%C3%A0_vendre_Agdal_Id%C3%A9al_investissement_Airbnb_57482873.htm,980000.0,45.0,Rabat,Haut Agdal
"I L
il y a 6 jours
Appartements dans Rabat, Hay Nahda
Particulier vend apt Jnane Nahda Fadesa
3
1
119 m²
810 000 DH
4 502 DH / mois",810 000,https://www.avito.ma/fr/hay_nahda/appartements/Particulier_vend_apt_Jnane_Nahda_Fadesa_57357732.htm,810000.0,119.0,Rabat,Hay Nahda
"IMMOCHOIX pro
il y a 6 jours
Appartements dans Rabat, Agdal
Appartement à vendre
3
3
127 m²
2 400 000 DH
13 339 DH / mois",2 400 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_57468113.htm,2400000.0,127.0,Rabat,Agdal
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Complexe l'Opéra
2
2
86 m²
1 118 000 DH",1 118 000,https://immoneuf.avito.ma/fr/unite/jXy?utm_source=avito_integration&utm_medium=listing_integration,1118000.0,86.0,Rabat,Autre
